iter	Passed	Remaining
0	93	93902
1	114	57180
2	131	43753
3	149	37223
4	167	33240
5	182	30247
6	199	28257
7	214	26645
8	229	25308
9	247	24477
10	262	23633
11	277	22844
12	291	22146
13	306	21613
14	321	21086
15	336	20721
16	352	20390
17	368	20077
18	382	19736
19	396	19424
20	409	19088
21	423	18809
22	436	18549
23	452	18408
24	466	18193
25	479	17976
26	495	17846
27	508	17668
28	522	17486
29	534	17272
30	547	17103
31	560	16951
32	574	16821
33	587	16679
34	600	16565
35	613	16424
36	627	16330
37	642	16270
38	658	16216
39	673	16162
40	687	16092
41	704	16061
42	719	16018
43	736	16002
44	753	15996
45	768	15931
46	784	15899
47	798	15830
48	813	15791
49	828	15750
50	844	15712
51	860	15680
52	876	15659
53	892	15631
54	907	15588
55	923	15574
56	939	15535
57	954	15501
58	968	15442
59	982	15398
60	997	15352
61	1012	15318
62	1027	15285
63	1040	15220
64	1054	15165
65	1068	15115
66	1082	15079
67	1098	15054
